comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.49028871500334836,1.2228752882844574,22.044672,27.734127,-7.6404290199279785,-6.857761383056641
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.5389136736797588,-1.1437097328734203,22.047525,27.73317,-7.748896837234497,-6.8328471183776855
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.7720034737526593,-2.371817018929931,22.04578,27.733051,-7.678339958190918,-6.790149629116058
solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.1332322412736455,0.4069441428149835,22.04685,27.732893,-7.724122643470764,-6.79374897480011
"le solaire, l'éolien, la géothermie, hydrolien","panneaux solaire ,géothermie",1196,0.13346724695904474,0.08426537371021112,0.03457337917326406,9.1860695,12.358244,-6.911255836486816,-6.527255535125732
L'énergie solaire. Des panneaux sur les toits.,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.4282131584546054,-1.3772576290713998,25.831886,1.900898,-9.185358554124832,-5.061969697475433
des panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,2.0763048427897512,0.6533370889120216,26.526539,13.596075,-10.483466625213623,-5.232812404632568
Des panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2229765534274908,-0.8955917809421522,26.52739,13.594805,-10.483428716659546,-5.232736706733704
Des panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.1632528407475284,-0.38378289656550424,26.526598,13.596055,-10.483369588851929,-5.2326624393463135
énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.4655258499384683,0.9668047390789835,1.598895,8.36272,-7.8373634815216064,-5.853315830230713
énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.8381234684800012,-1.8171147947286337,1.5991082,8.362821,-7.842504382133484,-5.849452897906303
Energie solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.0541088061591322,0.19140840888390626,1.5991012,8.362829,-7.824368476867676,-5.8269375413656235
énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.12798977630542369,-0.048309330991273595,1.5991082,8.362821,-7.825738430023193,-5.826602980494499
énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.6391595577974314,-0.1190250496606741,1.5991082,8.362821,-7.816160202026367,-5.8454650193452835
énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9121131827390887,0.31307808487315103,1.5991012,8.362828,-7.8157044649124146,-5.844546750187874
Énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2063525412414426,0.47022282492004497,1.5991012,8.362828,-7.8375327587127686,-5.8285839557647705
Énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.24259157629135292,-0.12934025956013367,1.5991012,8.362829,-7.8424296379089355,-5.8496106415987015
"la géothermie..., chauffe-eau solaire","panneaux solaire ,géothermie",1196,0.13346724695904474,1.5243445259101935,0.2863383409657466,-14.018174,23.00056,-8.73358803987503,-6.876480758190155
Les panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.34529020216024586,-0.09150779495324717,27.696468,12.413434,-10.684846639633179,-5.120736062526703
les panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.7787695565913311,-0.8379474758617926,27.696466,12.413458,-10.684846639633179,-5.120736062526703
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.44407805055465516,-1.8093508120819703,20.403353,25.714687,-7.684092044830322,-6.610598564147949
le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.38487690173860944,0.7459439330014084,20.403605,25.71405,-7.592085123062134,-6.6319228410720825
Le solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.5092509244557908,0.8610508708522056,20.403717,25.71406,-7.674634695053101,-6.624911606311798
